github_username,github_link,expected_category
torvalds,https://github.com/torvalds,Job Ready
karpathy,https://github.com/karpathy,Job Ready
openai,https://github.com/openai,Job Ready
microsoft,https://github.com/microsoft,Job Ready
yyx990803,https://github.com/yyx990803,Job Ready
deepseek-ai,https://github.com/deepseek-ai,Job Ready
gaearon,https://github.com/gaearon,Job Ready
peng-zhihui,https://github.com/peng-zhihui,Job Ready
ruanyf,https://github.com/ruanyf,Job Ready
sindresorhus,https://github.com/sindresorhus,Job Ready
bradtraversy,https://github.com/bradtraversy,Job Ready
github,https://github.com/github,Job Ready
google,https://github.com/google,Job Ready
JakeWharton,https://github.com/JakeWharton,Job Ready
huggingface,https://github.com/huggingface,Job Ready
rafaballerini,https://github.com/rafaballerini,Job Ready
geohot,https://github.com/geohot,Job Ready
krishnaik06,https://github.com/krishnaik06,Job Ready
michaelliao,https://github.com/michaelliao,Job Ready
rasbt,https://github.com/rasbt,Job Ready
llSourcell,https://github.com/llSourcell,Job Ready
facebookresearch,https://github.com/facebookresearch,Job Ready
taylorotwell,https://github.com/taylorotwell,Job Ready
ry,https://github.com/ry,Job Ready
tiangolo,https://github.com/tiangolo,Job Ready
iam-veeramalla,https://github.com/iam-veeramalla,Job Ready
lucidrains,https://github.com/lucidrains,Job Ready
hiteshchoudhary,https://github.com/hiteshchoudhary,Job Ready
tj,https://github.com/tj,Job Ready
ThePrimeagen,https://github.com/ThePrimeagen,Job Ready
addyosmani,https://github.com/addyosmani,Job Ready
getify,https://github.com/getify,Job Ready
nilbuild,https://github.com/nilbuild,Job Ready
filipedeschamps,https://github.com/filipedeschamps,Job Ready
antfu,https://github.com/antfu,Job Ready
IDouble,https://github.com/IDouble,Job Ready
daimajia,https://github.com/daimajia,Job Ready
apache,https://github.com/apache,Job Ready
alibaba,https://github.com/alibaba,Job Ready
chrisbanes,https://github.com/chrisbanes,Job Ready
Trinea,https://github.com/Trinea,Job Ready
spring-projects,https://github.com/spring-projects,Job Ready
aws,https://github.com/aws,Job Ready
in28minutes,https://github.com/in28minutes,Job Ready
unclebob,https://github.com/unclebob,Job Ready
acenelio,https://github.com/acenelio,Job Ready
philipplackner,https://github.com/philipplackner,Job Ready
hongyangAndroid,https://github.com/hongyangAndroid,Job Ready
nedmi16,https://github.com/nedmi16,Almost Ready
mbnakaya,https://github.com/mbnakaya,Almost Ready
dulaltech101,https://github.com/dulaltech101,Almost Ready
Aninsi-Sasberg,https://github.com/Aninsi-Sasberg,Almost Ready
entiolliko,https://github.com/entiolliko,Almost Ready
Baymin-ty,https://github.com/Baymin-ty,Almost Ready
gBruno99,https://github.com/gBruno99,Almost Ready
pedrotejero,https://github.com/pedrotejero,Almost Ready
eva3381,https://github.com/eva3381,Almost Ready
pedrosdev,https://github.com/pedrosdev,Almost Ready
zeinalpour,https://github.com/zeinalpour,Almost Ready
Xrief,https://github.com/Xrief,Almost Ready
FabioBarbirato,https://github.com/FabioBarbirato,Almost Ready
Omeralbayrak17,https://github.com/Omeralbayrak17,Almost Ready
J-Edson2,https://github.com/J-Edson2,Almost Ready
MengzSun,https://github.com/MengzSun,Almost Ready
Modern-Realm,https://github.com/Modern-Realm,Almost Ready
einav77,https://github.com/einav77,Almost Ready
Dualceilucas,https://github.com/Dualceilucas,Almost Ready
sallywoolweaverSchool,https://github.com/sallywoolweaverSchool,Almost Ready
NReedAlexander,https://github.com/NReedAlexander,Almost Ready
RevanzaXD,https://github.com/RevanzaXD,Almost Ready
WangYZ1608,https://github.com/WangYZ1608,Almost Ready
sarveshborole,https://github.com/sarveshborole,Almost Ready
cessvalerie,https://github.com/cessvalerie,Almost Ready
Kiril-Git,https://github.com/Kiril-Git,Almost Ready
