github_username,github_name,github_bio,public_repos,followers,following,total_repositories_analyzed,total_stars,total_forks,total_watchers,readme_count,description_count,homepage_count,recent_repo_count,languages_used,language_count
Abhishekhivarkar,Abhishek Hivarkar,"MERN Stack Developer 🚀
Love building real-world applications
Currently learning DSA in JavaScript",35,5,1,35,92,0,92,14,13,11,34,"Batchfile, C, CSS, Dockerfile, EJS, HTML, JavaScript, PowerShell, Python, SCSS, TypeScript",11
ajit193,Ajit Kumar,"Hi, I’m Ajit Kumar I’m currently learning sql, python, data analysis",11,0,0,11,0,0,0,10,2,1,0,"CSS, HTML, JavaScript, Jupyter Notebook, SCSS",5
Hike-12,Aliqyaan Mahimwala,Web developer,43,39,29,43,121,14,121,34,5,22,34,"C, C++, CMake, CSS, Dart, Dockerfile, HTML, Java, JavaScript, Kotlin, Objective-C, PHP, PLpgSQL, Python, Shell, Swift, TypeScript",17
Arnahhh,Arna Adhikari,I am a CSE Btech student,5,0,0,5,0,0,0,5,3,1,5,"CSS, HTML, JavaScript, Jupyter Notebook",4
ashmit821,,,8,0,0,8,0,0,0,0,0,0,4,"Jupyter Notebook, Python",2
Ashwin880077,,,2,0,0,2,0,0,0,2,2,0,0,,0
deep884,,,3,0,0,3,0,1,0,2,2,0,0,Jupyter Notebook,1
Gyanendratiwari98,Gyanendra Tiwari,"🎓 AI/ML Engineer | Deep Learning | LLMs & Generative AI | NLP | Python | DSA | C++ | Cloud | Networking | Frontend Development
",11,7,10,11,28,1,28,6,2,0,4,"Batchfile, C++, CSS, HTML, JavaScript, Jupyter Notebook, PowerShell, Python",8
JayanthSD2003,Jayanth_SD,,19,0,1,19,5,0,5,19,17,7,13,"Batchfile, C, C++, CSS, Dockerfile, Go, HTML, JavaScript, Nix, PHP, PowerShell, Python, Shell, TypeScript, kvlang",15
kt1211,Kuldeep Thakur ,"👨‍💻 BTech CSE Student | Data Science & Analytics Enthusiast

🛠️ Python | C | C++ | React | SQL

📊 Passionate about turning data into insights",8,1,0,8,0,0,0,2,1,0,4,"Batchfile, CSS, HTML, JavaScript, Python, TypeScript",6
Lalbabu-Coder,,,10,2,1,10,0,0,0,4,7,2,6,"CSS, HTML, JavaScript, TypeScript",4
manimohan-mistry,Manimohan Mistry,"🚀 Full Stack Developer | 💻 Passionate about building scalable web apps & seamless user experiences

🔹 Skilled in JavaScript | React | Node.js | Express | M",18,1,2,18,9,0,9,14,11,11,5,"CSS, EJS, HTML, Java, JavaScript",5
Mihir9901,,,4,0,0,4,0,0,0,4,1,1,4,"CSS, HTML, JavaScript",3
mukhtaransarii,Muktar Alam,"🧑🏻‍🎓 BCA
🖥️ Web Developer",49,8,0,49,3,2,3,39,4,16,19,"CSS, EJS, HTML, JavaScript, TypeScript",5
Jaybiswas001,Raja Biswas,A student who loves to learn new things...,6,0,0,6,0,0,0,3,3,0,0,"CSS, HTML, JavaScript, TypeScript",4
Anmolsahu4567,Anmol Sahu,,7,4,5,7,0,0,0,1,2,1,0,"Batchfile, C++, Jupyter Notebook, PowerShell, Python",5
